datatype	path	id	uiLabel	uiDefinition	help	minValue	maxValue	minLength	maxLength	pattern	format	preferred_unit
xmls:unsignedShort	/GENEPIO:0002090	GENEPIO:0000092	Sequencing Depth	Sequencing depth is the average number of reads representing a given nucleotide in the reconstructed sequence.	Sequencing depth should be reported as a numerical value as X times fold e.g. 30x							
xmls:decimal	/GENEPIO:0002090	OBI:0001941	N50	Contig or scaffold N50 is a weighted median statistic such that 50% of\nthe entire assembly is contained in contigs or scaffolds equal to or larger than this value.	N50 should be reported as a numerical value in Mb e.g. 0.75 Mb							UO:0000329
model	/	GENEPIO:0002089	Virulence	The virulence factors determined to be present in the sequenced isolate by phenotypic or target amplification methods e.g. Shiga toxins, hemolysins.								
xmls:string	/GENEPIO:0002089	GENEPIO:0002130	virulence factor name	The name of the virulence factor molecule produced by a pathogen that specifically causes disease, or that influences the host's function to allow the pathogen to thrive.								
xmls:string	/GENEPIO:0002089	GENEPIO:0002131	virulence testing protocol name	The laboratory protocol used to determine virulence phenotypes and markers.	The protocol for determining virulence should include, when applicable, inoculum preparation, platforms and instrumentation, conditions, cell lines and animal models.							
xmls:string	/GENEPIO:0002089	GENEPIO:0002132	detection limit	The detection limit denotes the smallest measure that can be detected with reasonable certainty for a given analytical procedure.	Detection limits should include the numerical cut-off (threshold) value and units for determining positive results e.g. qPCR value, CFUs.							
model	/	GENEPIO:0002092	Submission to EBI									
xmls:string	/GENEPIO:0002092	GENEPIO:0002140	strain OR isolate	Name of strain from which sample was obtained OR name of isolate from which sample was obtained.	This information can be derived exactly from the ISO Strain or Isolate field. Only one value should be provided, at the discretion of the submitter.							
xmls:anyURI	/GENEPIO:0002092	GENEPIO:0001640	taxon OR organism	Taxon identifier OR scientific name of the organism that provided the sequenced genetic material.								
xmls:string	/GENEPIO:0002092	GENEPIO:0001079	serovar	Serological variety of a species characterized by its antigenic properties.								
xmls:boolean	/GENEPIO:0002092	GENEPIO:0002135	environmental_feature	Identifies sequences derived by direct molecular isolation from a bulk environmental DNA sample (by PCR with or without subsequent cloning of the product, DGGE, or other anonymous methods) with no reliable identification of the source of the organism.	used only with the source feature key; source feature keys containing the /environmental_sample qualifier should also contain the /isolation_source qualifier. entries including /environmental_sample must not include the /strain qualifier							
xmls:dateTime	/GENEPIO:0002092	OBI:0001619	collection_date	Date that the specimen was collected, in format YYYY-MM-DD.	This information can be derived from the ISO Collection Date field. If the stakeholder must include a truncated version due to data sharing constraints, only include the year (YYYY format).							
model	/GENEPIO:0002092	GENEPIO:0001797	collected_by	Name of persons or institute who collected the specimen.								
xmls:string	/GENEPIO:0002092/GENEPIO:0001797/Nee50babdc7db4a83ab1c6168ea5b5a9c	NCIT:C25191	Person Name	A word or group of words indicating the identity of a person usually consisting of a first (personal) name and a last (family) name with an optional middle name.								
xmls:string	/GENEPIO:0002092/GENEPIO:0001797/Nee50babdc7db4a83ab1c6168ea5b5a9c	NCIT:C93874	organization name	A textual identifier for an organization. [def-source: NCI]								
model	/GENEPIO:0002092	GENEPIO:0002086	lat_lon OR country	Geographical coordinates of the location where the specimen was collected OR locality of isolation of the sampled organism indicated in terms of political names for nations, oceans or seas, followed by regions and localities.	Only lat_lon or country information should be provided, at the discretion of the submitter.*\nLat_lon information can be derived by concatenating a subset of the ISO Geographic Location of Sample Collection fields prescribed by Annex\nB. Specifically, Latitude and Longitude information should be concatenated and separated by a space.\nCountry information can be derived exactly from the ISO Country field in Annex B.							
model	/GENEPIO:0002092/GENEPIO:0002086	GENEPIO:0001656	latitude and longitude coordinate(s)		Use ISO 6709 standard. Values should be stored in signed decimal degrees format based on the WGS84 geodetic reference system. Multiple value pairs may be entered if the site is not a point. Latitude and longitude should not be abstracted to the centre of a city, province/state or country as this may falsely implicate an existing location.							
xmls:decimal	/GENEPIO:0002092/GENEPIO:0002086/GENEPIO:0001656	GENEPIO:0001863	longitude	A decimal longitude measurement in degrees in conformance with the ISO 6709 standard.		-180.0	180.0					
xmls:decimal	/GENEPIO:0002092/GENEPIO:0002086/GENEPIO:0001656	GENEPIO:0001862	latitude	A decimal latitude measurement in degrees in conformance with the ISO 6709 standard.		-90.0	90.0					
xmls:anyURI	/GENEPIO:0002092/GENEPIO:0002086	GENEPIO:0000118	country	The country in which the sample was collected.								
xmls:anyURI	/GENEPIO:0002092/GENEPIO:0002086	GENEPIO:0002097	Province/State/Territory/Region	The name of the Province, State, Territory or Region where the sample was extracted from.								
xmls:anyURI	/GENEPIO:0002092/GENEPIO:0002086	GENEPIO:0001785	city	The city in which the sample was collected.								
model	/GENEPIO:0002092	GENEPIO:0002076	isolation_source	Describes the physical, environmental and/or local geographical source of the biological sample from which the sample was derived.	This information can be derived by concatenating the information for Sample Type and related fields, separated by a colon.							
xmls:anyURI	/GENEPIO:0002092/GENEPIO:0002076	ENVO:00000191	physiographic feature									
xmls:anyURI	/GENEPIO:0002092/GENEPIO:0002076	ENVO:00000002	constructed feature	An anthropogenic geographic feature is a geographic feature resulting from the influence of human beings on nature.								
xmls:anyURI	/GENEPIO:0002092/GENEPIO:0002076	ENVO:00000428	biome	A biome is an environmental system to which resident ecological communities have evolved adaptations.								
xmls:anyURI	/GENEPIO:0002092	GENEPIO:0001567	specific_host	Natural (as opposed to laboratory) host to the organism from which sample was obtained (or “free-living” if not host-associated).								
xmls:anyURI	/GENEPIO:0002092	GENEPIO:0000110	host_disease_status	Condition of host (“healthy”, “diseased”).	This field is specific to the EBI. If the host was associated with a disease in the ISO Host Disease field, choose “diseased”, if the host did not manifest disease, choose “healthy”.							
model	/	GENEPIO:0002091	Submission to NCBI/DDBJ									
xmls:string	/GENEPIO:0002091	OBI:0001616	sample_name	Sample Name is a name that you choose for the sample. It can have any format, but we suggest that you make it concise, unique and consistent within your lab, and as informative as possible.								
xmls:string	/GENEPIO:0002091	GENEPIO:0002141	lat_lon	The geographical coordinates of the location where the sample was collected. Specify as degrees latitude and longitude in format "d[d.dddd] N|S d[dd.dddd] W|E", eg, 38.98 N 77.11 W.	This information can be derived by concatenating a subset of the ISO Geographic Location of Sample Collection fields prescribed by Annex\nB. Specifically, Latitude and Longitude information should be concatenated and separated by a space.					\s*(\d(.\d{1,4})?|[1-8]\d(.\d{1,4})?|90(.0{1,4})?)\s*[WEwe]\s*(\d(.\d{1,4})?|[1-9]\d(.\d{1,4})?|1[0-7]\d(.\d{1,4})?|180(.0{1,4})?)\s*[NSns]\s*		
xmls:string	/GENEPIO:0002091	GENEPIO:0001644	isolate	Identification or description of the specific individual from which this sample was obtained.								
xmls:string	/GENEPIO:0002091	GENEPIO:0001429	strain	Microbial or eukaryotic strain name.								
xmls:anyURI	/GENEPIO:0002091	GENEPIO:0001640	organism	The most descriptive organism name for this sample (to the species, if relevant).								
xmls:anyURI	/GENEPIO:0002091	GENEPIO:0000113	attribute_package	Specify the pathogen type. Allowed values are:\n"Pathogen.cl" (for clinical or host-associated pathogen) or \n"Pathogen.env" (for environmental, food or other pathogen).								
xmls:dateTime	/GENEPIO:0002091	OBI:0001619	collection_date	Date of sampling, in "DD-Mmm-YYYY", "Mmm-YYYY" or "YYYY" format (eg., 30-Oct-1990, Oct-1990 or 1990) or ISO 8601 standard "YYYY-mm-dd", "YYYY-mm" or "YYYY-mm-ddThh:mm:ss" (eg., 1990-10-30, 1990-10 or\n1990-10-30T14:41:36)	This information can be derived from the ISO Collection Date field. If the stakeholder must include a truncated version due to data sharing constraints, only include the year (YYYY format).							
model	/GENEPIO:0002091	GENEPIO:0001797	collected_by	Name of persons or institute who collected the sample.								
xmls:string	/GENEPIO:0002091/GENEPIO:0001797/Nee50babdc7db4a83ab1c6168ea5b5a9c	NCIT:C25191	Person Name	A word or group of words indicating the identity of a person usually consisting of a first (personal) name and a last (family) name with an optional middle name.								
xmls:string	/GENEPIO:0002091/GENEPIO:0001797/Nee50babdc7db4a83ab1c6168ea5b5a9c	NCIT:C93874	organization name	A textual identifier for an organization. [def-source: NCI]								
model	/GENEPIO:0002091	GENEPIO:0001657	geo_loc_name	Geographical origin of the sample; use the appropriate name from this list http://www.insdc.org/documents/co untry-qualifier-vocabulary. Use a colon to separate the country or ocean from more detailed information about the location, eg "Canada: Vancouver" or "Germany: halfway down Zugspitze, Alps"	This information can be derived by concatenating a subset of the ISO Geographic Location of Sample Collection fields prescribed by Annex B. Specifically, City, Province/State/Territory, Country information should be concatenated and separated by colons.*							
xmls:anyURI	/GENEPIO:0002091/GENEPIO:0001657	NCIT:C25464	Country	A collective generic term that refers here to a wide variety of dependencies, areas of special sovereignty, uninhabited islands, and other entities in addition to the traditional countries or independent states.								
xmls:string	/GENEPIO:0002091/GENEPIO:0001657/N9cc88a5db840491cb7e67b029f7a44b9	GENEPIO:0001887	landmark									
xmls:anyURI	/GENEPIO:0002091/GENEPIO:0001657/N9cc88a5db840491cb7e67b029f7a44b9	NCIT:C80234	Municipality	A political unit, such as a city, town, or village, incorporated for local self-government.								
xmls:anyURI	/GENEPIO:0002091/GENEPIO:0001657	ENVO:00000005	state / province / territory / region	A primary administrative division of a country, such as a state in the United States.								
xmls:string	/GENEPIO:0002091	GENEPIO:0000027	isolation_source	Describes the physical, environmental and/or local geographical source of the biological sample from which the sample was derived.	This information can be derived by concatenating the information for Sample Type and related fields, separated by a colon.							
xmls:anyURI	/GENEPIO:0002091	GENEPIO:0001567	host	The natural (as opposed to laboratory) host to the organism from which the sample was obtained. Use the full taxonomic name, eg, "Homo sapiens".								
xmls:string	/GENEPIO:0002091	GENEPIO:0001724	host common name	The natural language (non-taxonomic) name of the type of organism (human or animal) that is the subject of a given investigation, study and/or specimen.								
xmls:anyURI	/GENEPIO:0002091	GENEPIO:0001617	host_disease	Name of relevant disease, e.g. gastroenteritis.	e.g. gastroenteritis.							
